campaign_id,platform_category,canonical_artist,canonical_product,objective,project_no,product_number_type,campaign_start_date,spend,impressions,reach,video_views,link_clicks,interactions,comments,likes,reactions,shares,follows,conversions,campaign_end_date,campaign_duration_days,total_awareness_metrics,total_traffic_metrics,total_engagement_metrics,streams_during_campaign,streams_10day_post,baseline_streams_14day_pre,streaming_trackable,baseline_start,baseline_end,during_start,during_end,decay_start,decay_end,overlap_days_baseline,overlap_days_during,overlap_days_decay,overlap_ratio_baseline,overlap_ratio_during,overlap_ratio_decay,any_overlap_count
157858920231,instagram,Lady_Jessica,Llorando,traffic,970016308958,Track URI,2023-03-25,294.533017158,34091,5504,1118,1493,11687,0,0,190,0,0,7,2023-03-31,7,35209,1500,11687,0.0,0.0,0.0,track,2023-03-11,2023-03-24,2023-03-25,2023-03-31,2023-04-01,2023-04-10,0.0,21.0,0.0,0.0,3.0,0.0,3
157858920231,instagram,Lady_Jessica,Psytrance,traffic,970016308958,Track URI,2023-01-23,337.28073673,84614,7301,2563,3197,27763,3,0,230,0,0,15,2023-02-04,13,87177,3212,27763,0.0,0.0,0.0,track,2023-01-09,2023-01-22,2023-01-23,2023-02-04,2023-02-05,2023-02-14,0.0,35.0,1.0,0.0,2.6923076923076925,0.1,3
157858920231,instagram,Lauras_Angel,Questions_in_a_World_of_Blue,traffic,779165140623,Album URI,2023-01-31,1123.384403204,136299,8986,3794,5472,47991,0,0,1176,0,0,43,2023-02-12,13,140093,5515,47991,554485.0,315818.0,17643.0,non_track,2023-01-17,2023-01-30,2023-01-31,2023-02-12,2023-02-13,2023-02-22,0.0,22.0,0.0,0.0,1.6923076923076923,0.0,2
157858920231,instagram,Log_Lady,Got_a_Light_Again,traffic,791586853774,Album URI,2023-02-14,899.625228525,199707,32856,3837,1700,16465,1,0,159,0,0,35,2023-03-10,25,203544,1735,16465,676962.0,192391.0,6359.214285714285,non_track,2023-01-31,2023-02-13,2023-02-14,2023-03-10,2023-03-11,2023-03-20,11.0,20.0,0.0,0.7857142857142857,0.8,0.0,2
157858920231,instagram,Lucy_Moran,Behind_the_mask,awareness,384327699947,URL,2023-01-24,280.90233188,125754,15913,661,82,33919,0,0,158,0,0,14,2023-02-06,14,126415,96,33919,118995.0,118929.0,8501.714285714286,non_track,2023-01-10,2023-01-23,2023-01-24,2023-02-06,2023-02-07,2023-02-16,0.0,44.0,10.0,0.0,3.142857142857143,1.0,4
157858920231,instagram,Lula_Fortune,Recklessly,traffic,903864886418,Album URI,2023-01-31,842.920681385,134862,3371,7727,7908,61383,25,0,1907,0,0,96,2023-02-25,26,142589,8004,61383,229228.0,107214.0,3293.3571428571427,non_track,2023-01-17,2023-01-30,2023-01-31,2023-02-25,2023-02-26,2023-03-07,14.0,27.0,8.0,1.0,1.0384615384615385,0.8,2
157858920231,instagram,Major_Briggs,Gutai,traffic,106206807592,Track URI,2023-03-21,562.24327492,131103,15664,852,782,10404,3,0,290,0,0,94,2023-03-31,11,131955,876,10404,35536.0,0.0,1830.857142857143,track,2023-03-07,2023-03-20,2023-03-21,2023-03-31,2023-04-01,2023-04-10,4.0,20.0,0.0,0.2857142857142857,1.8181818181818181,0.0,2
157858920231,instagram,Monica_Bellucci_Herself,Coffee_and_Pie,awareness,137277385600,Track URI,2023-02-21,987.359528,341458,63149,1815,637,11758,0,0,0,0,0,81,2023-03-03,11,343273,718,11758,0.0,0.0,0.0,track,2023-02-07,2023-02-20,2023-02-21,2023-03-03,2023-03-04,2023-03-13,0.0,17.0,20.0,0.0,1.5454545454545454,2.0,2
157858920231,instagram,Mr_Eddy,Do_It_for_Van_Gogh,traffic,666699650709,URL,2023-03-26,338.00791092,66425,7498,0,1045,1384,3,0,335,0,0,372,2023-03-31,6,66425,1417,1384,0.0,0.0,0.0,non_track,2023-03-12,2023-03-25,2023-03-26,2023-03-31,2023-04-01,2023-04-10,0.0,12.0,0.0,0.0,2.0,0.0,2
157858920231,instagram,Mr_Roque,Picnic_Mystery,awareness,29106555714,URL,2023-02-05,5621.353091033,2545292,69755,9150,1678,86312,2,0,587,0,0,0,2023-03-08,32,2554442,1678,86312,0.0,0.0,0.0,non_track,2023-01-22,2023-02-04,2023-02-05,2023-03-08,2023-03-09,2023-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0
157858920231,instagram,Mrs_Tremond,Clear_Skies,traffic,868809730610,Track URI,2023-01-23,843.471756953,366518,20278,16357,9098,115051,21,0,911,0,0,66,2023-02-13,22,382875,9164,115051,14684.0,5080.0,868.5,track,2023-01-09,2023-01-22,2023-01-23,2023-02-13,2023-02-14,2023-02-23,0.0,45.0,20.0,0.0,2.0454545454545454,2.0,3
157858920231,instagram,Mrs_Tremonds_Grandson,Wake_Up,traffic,766135693451,URL,2023-02-11,3.29520692,759,751,88,82,384,0,0,4,0,0,0,2023-02-11,1,847,82,384,0.0,0.0,0.0,non_track,2023-01-28,2023-02-10,2023-02-11,2023-02-11,2023-02-12,2023-02-21,10.0,2.0,20.0,0.7142857142857143,2.0,2.0,2
157858920231,instagram,Mystery_Man,Courageously,traffic,929087636537,Track URI,2023-01-27,1286.60593368,245669,8593,16067,5852,90223,7,0,3163,2,0,321,2023-02-24,29,261736,6173,90223,9031159.0,8071633.0,121469.5,track,2023-01-13,2023-01-26,2023-01-27,2023-02-24,2023-02-25,2023-03-06,0.0,66.0,43.0,0.0,2.2758620689655173,4.3,6
157858920231,instagram,Mystery_Man,Jade_Give_Two_Rides,traffic,929087636537,Album URI,2023-02-24,1400.45601561,255559,17994,19565,14213,113128,8,0,3662,0,0,49,2023-03-16,21,275124,14262,113128,0.0,0.0,0.0,non_track,2023-02-10,2023-02-23,2023-02-24,2023-03-16,2023-03-17,2023-03-26,35.0,71.0,20.0,2.5,3.380952380952381,2.0,5
157858920231,instagram,Mystery_Man,Sleep_Mode,traffic,929087636537,URL,2023-02-04,1124.44156408,229462,19744,13166,5174,52828,6,0,1009,0,0,134,2023-02-17,14,242628,5308,52828,0.0,0.0,0.0,non_track,2023-01-21,2023-02-03,2023-02-04,2023-02-17,2023-02-18,2023-02-27,8.0,41.0,32.0,0.5714285714285714,2.9285714285714284,3.2,3
157858920231,instagram,Nadine_Hurley,Chance_Taken,traffic,318733585791,URL,2023-03-17,1124.2616211,221496,21292,0,3319,5130,5,0,1781,0,0,112,2023-03-30,14,221496,3431,5130,0.0,0.0,0.0,non_track,2023-03-03,2023-03-16,2023-03-17,2023-03-30,2023-03-31,2023-04-09,0.0,14.0,1.0,0.0,1.0,0.1,1
157858920231,instagram,Nikki_Grace,Havenhurst,traffic,83213715818,URL,2023-03-07,1117.46877128,119418,1455,8306,2181,30993,21,0,1789,0,0,0,2023-03-31,25,127724,2181,30993,0.0,0.0,0.0,non_track,2023-02-21,2023-03-06,2023-03-07,2023-03-31,2023-04-01,2023-04-10,0.0,8.0,0.0,0.0,0.32,0.0,1
157858920231,instagram,One_Adam_Kesher,White_Tail_Falls,traffic,206181357229,Album URI,2023-01-16,562.198286911,133029,7329,4269,3876,38325,11,0,1389,0,0,85,2023-02-05,21,137298,3961,38325,0.0,0.0,0.0,non_track,2023-01-02,2023-01-15,2023-01-16,2023-02-05,2023-02-06,2023-02-15,0.0,78.0,20.0,0.0,3.7142857142857144,2.0,4
